date,cities,pct_chng_feb_1
2020-02-10,Southampton,0.51
2020-02-10,Huddersfield,-0.85
2020-02-10,Peterborough,-0.22
2020-02-10,Middlesbrough,-1.94
2020-02-10,Milton Keynes,1.56
2020-02-11,Hull,2.15
2020-02-11,York,2.21
2020-02-11,Derby,3.81
2020-02-11,Leeds,1.23
2020-02-11,Luton,0.24
2020-02-11,Stoke,-0.06
2020-02-11,Wigan,-0.47
2020-02-11,Dundee,-0.67
2020-02-11,Exeter,2.77
2020-02-11,London,1.17
2020-02-11,Oxford,1.14
2020-02-11,Slough,1.07
2020-02-11,Belfast,-0.02
2020-02-11,Bristol,0.36
2020-02-11,Burnley,-3.59
2020-02-11,Cardiff,1.99
2020-02-11,Chatham,1.16
2020-02-11,Crawley,0.83
2020-02-11,Glasgow,2.33
2020-02-11,Ipswich,-0.18
2020-02-11,Newport,0.72
2020-02-11,Norwich,-1.08
2020-02-11,Preston,0.62
2020-02-11,Reading,-0.03
2020-02-11,Swansea,-0.52
2020-02-11,Swindon,3.95
2020-02-11,Telford,5.16
2020-02-11,Aberdeen,2.59
2020-02-11,Barnsley,-1.93
2020-02-11,Basildon,-4.54
2020-02-11,Bradford,8.52
2020-02-11,Brighton,1.09
2020-02-11,Coventry,1.77
2020-02-11,Plymouth,3.64
2020-02-11,Southend,-2.03
2020-02-11,Worthing,3.63
2020-02-11,Aldershot,1.12
2020-02-11,Blackburn,-3.62
2020-02-11,Blackpool,-0.47
2020-02-11,Cambridge,-1.73
2020-02-11,Doncaster,1.22
2020-02-11,Edinburgh,0.19
2020-02-11,Leicester,-2.34
2020-02-11,Liverpool,4.44
2020-02-11,Mansfield,-0.19
2020-02-11,Newcastle,2.48
2020-02-11,Sheffield,0.15
2020-02-11,Wakefield,2.52
2020-02-11,Birkenhead,2.62
2020-02-11,Birmingham,5.77
2020-02-11,Gloucester,4.13
2020-02-11,Manchester,1.71
2020-02-11,Nottingham,-1.65
2020-02-11,Portsmouth,-0.22
2020-02-11,Sunderland,5.27
2020-02-11,Warrington,1.63
2020-02-11,Bournemouth,0.3
2020-02-11,Northampton,1.18
2020-02-11,Southampton,0.4
2020-02-11,Huddersfield,-1.39
2020-02-11,Peterborough,-0.35
2020-02-11,Middlesbrough,-2.2
2020-02-11,Milton Keynes,1.63
2020-02-12,Hull,2.22
2020-02-12,York,1.98
2020-02-12,Derby,3.44
2020-02-12,Leeds,1.1
2020-02-12,Luton,-0.74
2020-02-12,Stoke,0.11
2020-02-12,Wigan,-0.56
2020-02-12,Dundee,-0.07
2020-02-12,Exeter,3.04
2020-02-12,London,1.18
2020-02-12,Oxford,1.17
2020-02-12,Slough,1.32
2020-02-12,Belfast,-0.35
2020-02-12,Bristol,0.42
2020-02-12,Burnley,-3.96
2020-02-12,Cardiff,1.75
2020-02-12,Chatham,1.04
2020-02-12,Crawley,0.74
2020-02-12,Glasgow,2.72
2020-02-12,Ipswich,-0.7
2020-02-12,Newport,0.38
2020-02-12,Norwich,-1.27
2020-02-12,Preston,1.43
2020-02-12,Reading,-0.35
2020-02-12,Swansea,-0.8
2020-02-12,Swindon,3.82
2020-02-12,Telford,5.46
2020-02-12,Aberdeen,3.17
2020-02-12,Barnsley,-2.02
2020-02-12,Basildon,-5.25
2020-02-12,Bradford,8.42
2020-02-12,Brighton,0.87
2020-02-12,Coventry,2.07
2020-02-12,Plymouth,3.8
2020-02-12,Southend,-2.23
2020-02-12,Worthing,3.75
2020-02-12,Aldershot,0.16
2020-02-12,Blackburn,-4.03
2020-02-12,Blackpool,-0.53
2020-02-12,Cambridge,-1.95
2020-02-12,Doncaster,1.51
2020-02-12,Edinburgh,0.13
2020-02-12,Leicester,-2.41
2020-02-12,Liverpool,4.27
2020-02-12,Mansfield,-0.38
2020-02-12,Newcastle,2.28
2020-02-12,Sheffield,0.05
2020-02-12,Wakefield,2.5
2020-02-12,Birkenhead,2.95
2020-02-12,Birmingham,5.79
2020-02-12,Gloucester,4.03
2020-02-12,Manchester,1.45
2020-02-12,Nottingham,-1.72
2020-02-12,Portsmouth,0
2020-02-12,Sunderland,5.59
2020-02-12,Warrington,1.17
2020-02-12,Bournemouth,-0.01
2020-02-12,Northampton,1.26
2020-02-12,Southampton,0.1
2020-02-12,Huddersfield,-1.75
2020-02-12,Peterborough,-0.3
2020-02-12,Middlesbrough,-2.47
2020-02-12,Milton Keynes,1.61
2020-02-13,Hull,2.42
2020-02-13,York,1.9
2020-02-13,Derby,3.44
