date,region,indeed_job_postings_index
2022-02-19,East Midlands,173.85
2022-02-20,East Midlands,173.75
2022-02-21,East Midlands,173.79
2022-02-22,East Midlands,173.78
2022-02-23,East Midlands,173.86
2022-02-24,East Midlands,174.01
2022-02-25,East Midlands,174.19
2022-02-26,East Midlands,174.54
2022-02-27,East Midlands,174.56
2022-02-28,East Midlands,174.41
2022-03-01,East Midlands,173.77
2022-03-02,East Midlands,173.03
2022-03-03,East Midlands,172.33
2022-03-04,East Midlands,171.79
2022-03-05,East Midlands,171.38
2022-03-06,East Midlands,171.29
2022-03-07,East Midlands,171.34
2022-03-08,East Midlands,171.93
2022-03-09,East Midlands,172.64
2022-03-10,East Midlands,173.04
2022-03-11,East Midlands,173.37
2022-03-12,East Midlands,173.36
2022-03-13,East Midlands,173.21
2022-03-14,East Midlands,172.97
2022-03-15,East Midlands,172.87
2022-03-16,East Midlands,172.7
2022-03-17,East Midlands,172.75
2022-03-18,East Midlands,172.67
2022-03-19,East Midlands,172.57
2022-03-20,East Midlands,172.54
2022-03-21,East Midlands,172.64
2022-03-22,East Midlands,172.33
2022-03-23,East Midlands,172
2022-03-24,East Midlands,171.68
2022-03-25,East Midlands,171.62
2022-03-26,East Midlands,171.68
2022-03-27,East Midlands,171.67
2022-03-28,East Midlands,171.58
2022-03-29,East Midlands,171.67
2022-03-30,East Midlands,171.8
2022-03-31,East Midlands,171.9
2022-04-01,East Midlands,170.97
2022-04-02,East Midlands,170.16
2022-04-03,East Midlands,169.45
2022-04-04,East Midlands,168.81
2022-04-05,East Midlands,168.23
2022-04-06,East Midlands,167.69
2022-04-07,East Midlands,166.9
2022-04-08,East Midlands,166.99
2022-04-09,East Midlands,167
2022-04-10,East Midlands,166.97
2022-04-11,East Midlands,166.94
2022-04-12,East Midlands,166.93
2022-04-13,East Midlands,166.91
2022-04-14,East Midlands,167.17
2022-04-15,East Midlands,167.52
2022-04-16,East Midlands,167.83
2022-04-17,East Midlands,168.15
2022-04-18,East Midlands,168.48
2022-04-19,East Midlands,168.24
2022-04-20,East Midlands,167.98
2022-04-21,East Midlands,167.71
2022-04-22,East Midlands,167.29
2022-04-23,East Midlands,166.97
2022-04-24,East Midlands,166.54
2022-04-25,East Midlands,165.93
2022-04-26,East Midlands,165.8
2022-04-27,East Midlands,165.44
2022-04-28,East Midlands,164.88
2022-04-29,East Midlands,164.29
2022-04-30,East Midlands,163.71
