date,CBSA Title,cbsa_code,pct_chng_feb_1
2020-02-03,"Youngstown-Warren-Boardman, OH-PA",49660,0.641411990892937
2020-02-03,"Grand Rapids-Kentwood, MI",24340,0.0524349950661751
2020-02-03,"Dayton-Kettering, OH",19430,-0.313685246176565
2020-02-03,"Las Vegas-Henderson-Paradise, NV",29820,-0.525005482092056
2020-02-03,"Fayetteville-Springdale-Rogers, AR",22220,0.446355398173481
2020-02-03,"Memphis, TN-MS-AR",32820,-0.249725845974336
2020-02-03,"New York-Newark-Jersey City, NY-NJ-PA",35620,0.0685977114618153
2020-02-03,"St. Louis, MO-IL",41180,-0.136148473679765
2020-02-03,"Ogden-Clearfield, UT",36260,0.260638375863698
2020-02-03,"San Diego-Chula Vista-Carlsbad, CA",41740,0.0403097219342952
2020-02-03,"Portland-South Portland, ME",38860,0.326211926967379
2020-02-03,"Chicago-Naperville-Elgin, IL-IN-WI",16980,0.211874918052812
2020-02-03,"Birmingham-Hoover, AL",13820,0.167510954837313
2020-02-03,"Urban Honolulu, HI",46520,0.664572110871942
2020-02-03,"Pittsburgh, PA",38300,0.389689791080428
2020-02-03,"Milwaukee-Waukesha, WI",33340,0.600198953774322
2020-02-03,"San Antonio-New Braunfels, TX",41700,-0.0605255747563649
2020-02-03,"Lansing-East Lansing, MI",29620,0.618474298128691
2020-02-03,"North Port-Sarasota-Bradenton, FL",35840,-0.468618259832887
2020-02-03,"McAllen-Edinburg-Mission, TX",32580,-0.343789824735374
2020-02-03,"Phoenix-Mesa-Chandler, AZ",38060,0.120294910681129
2020-02-03,"Winston-Salem, NC",49180,0.0296365922547226
2020-02-03,"Charleston-North Charleston, SC",16700,-0.22780013564444
2020-02-03,"Provo-Orem, UT",39340,0.0656540719855103
2020-02-03,"Chattanooga, TN-GA",16860,0.868056961316732
2020-02-03,"Columbia, SC",17900,-0.231833983333229
2020-02-03,"Boise City, ID",14260,-0.530192727786749
2020-02-03,"Seattle-Tacoma-Bellevue, WA",42660,0.0159226004963875
2020-02-03,"Nashville-Davidson--Murfreesboro--Franklin, TN",34980,0.0410408426215314
2020-02-03,"Lancaster, PA",29540,-0.562078793530529
2020-02-03,"New Orleans-Metairie, LA",35380,0.654315086877277
2020-02-03,"Stockton, CA",44700,1.43873483479666
2020-02-03,"Virginia Beach-Norfolk-Newport News, VA-NC",47260,0.207143683815136
2020-02-03,"Scranton--Wilkes-Barre, PA",42540,0.203158089016831
2020-02-03,"Hartford-East Hartford-Middletown, CT",25540,0.114612478171328
