date,jobcountry,indeed_job_postings_index,variable,display_name
2021-05-13,AU,125.9,total postings,Accounting
2021-05-14,AU,126.41,total postings,Accounting
2021-05-15,AU,127.12,total postings,Accounting
2021-05-16,AU,127.79,total postings,Accounting
2021-05-17,AU,128.27,total postings,Accounting
2021-05-18,AU,128.7,total postings,Accounting
2021-05-19,AU,128.78,total postings,Accounting
2021-05-20,AU,129.19,total postings,Accounting
2021-05-21,AU,129.35,total postings,Accounting
2021-05-22,AU,128.65,total postings,Accounting
2021-05-23,AU,128.11,total postings,Accounting
2021-05-24,AU,127.58,total postings,Accounting
2021-05-25,AU,126.89,total postings,Accounting
2021-05-26,AU,126.18,total postings,Accounting
2021-05-27,AU,125.28,total postings,Accounting
2021-05-28,AU,124.16,total postings,Accounting
2021-05-29,AU,123.72,total postings,Accounting
2021-05-30,AU,123.03,total postings,Accounting
2021-05-31,AU,122.33,total postings,Accounting
2021-06-01,AU,121.77,total postings,Accounting
2021-06-02,AU,121.6,total postings,Accounting
2021-06-03,AU,121.31,total postings,Accounting
2021-06-04,AU,121.5,total postings,Accounting
2021-06-05,AU,121.89,total postings,Accounting
2021-06-06,AU,122.43,total postings,Accounting
2021-06-07,AU,123.15,total postings,Accounting
2021-06-08,AU,123.95,total postings,Accounting
2021-06-09,AU,124.6,total postings,Accounting
2021-06-10,AU,125.21,total postings,Accounting
2021-06-11,AU,125.91,total postings,Accounting
2021-06-12,AU,126.28,total postings,Accounting
2021-06-13,AU,126.89,total postings,Accounting
2021-06-14,AU,127.18,total postings,Accounting
2021-06-15,AU,127.47,total postings,Accounting
2021-06-16,AU,127.88,total postings,Accounting
2021-06-17,AU,128.6,total postings,Accounting
2021-06-18,AU,128.91,total postings,Accounting
2021-06-19,AU,129.43,total postings,Accounting
2021-06-20,AU,129.76,total postings,Accounting
2021-06-21,AU,130.58,total postings,Accounting
2021-06-22,AU,131.16,total postings,Accounting
2021-06-23,AU,131.6,total postings,Accounting
2021-06-24,AU,131.77,total postings,Accounting
2021-06-25,AU,132.1,total postings,Accounting
2021-06-26,AU,133.07,total postings,Accounting
2021-06-27,AU,133.91,total postings,Accounting
2021-06-28,AU,134.72,total postings,Accounting
2021-06-29,AU,135.64,total postings,Accounting
2021-06-30,AU,136.44,total postings,Accounting
2021-07-01,AU,137.24,total postings,Accounting
2021-07-02,AU,137.8,total postings,Accounting
2021-07-03,AU,137.63,total postings,Accounting
2021-07-04,AU,137.5,total postings,Accounting
2021-07-05,AU,136.76,total postings,Accounting
2021-07-06,AU,136.25,total postings,Accounting
2021-07-07,AU,135.68,total postings,Accounting
2021-07-08,AU,134.93,total postings,Accounting
2021-07-09,AU,134.72,total postings,Accounting
2021-07-10,AU,134.51,total postings,Accounting
2021-07-11,AU,134.38,total postings,Accounting
2021-07-12,AU,134.24,total postings,Accounting
2021-07-13,AU,133.92,total postings,Accounting
2021-07-14,AU,133.77,total postings,Accounting
2021-07-15,AU,133.91,total postings,Accounting
2021-07-16,AU,133.49,total postings,Accounting
2021-07-17,AU,132.88,total postings,Accounting
2021-07-18,AU,132.44,total postings,Accounting
2021-07-19,AU,132.78,total postings,Accounting
2021-07-20,AU,132.99,total postings,Accounting
2021-07-21,AU,133.17,total postings,Accounting
2021-07-22,AU,133.27,total postings,Accounting
2021-07-23,AU,133.26,total postings,Accounting
2021-07-24,AU,133.08,total postings,Accounting
2021-07-25,AU,132.81,total postings,Accounting
2021-07-26,AU,131.83,total postings,Accounting
2021-07-27,AU,130.81,total postings,Accounting
2021-07-28,AU,129.47,total postings,Accounting
2021-07-29,AU,128.37,total postings,Accounting
2021-07-30,AU,127.42,total postings,Accounting
2021-07-31,AU,126.66,total postings,Accounting
2021-08-01,AU,125.39,total postings,Accounting
2021-08-02,AU,124.27,total postings,Accounting
2021-08-03,AU,123.31,total postings,Accounting
2021-08-04,AU,122.71,total postings,Accounting
2021-08-05,AU,121.93,total postings,Accounting
2021-08-06,AU,121.56,total postings,Accounting
2021-08-07,AU,121.44,total postings,Accounting
2021-08-08,AU,121.74,total postings,Accounting
2021-08-09,AU,122.28,total postings,Accounting
2021-08-10,AU,122.97,total postings,Accounting
2021-08-11,AU,123.49,total postings,Accounting
2021-08-12,AU,123.7,total postings,Accounting
2021-08-13,AU,123.98,total postings,Accounting
2021-08-14,AU,124.43,total postings,Accounting
2021-08-15,AU,124.91,total postings,Accounting
2021-08-16,AU,125.42,total postings,Accounting
2021-08-17,AU,125.49,total postings,Accounting
2021-08-18,AU,125.83,total postings,Accounting
2021-08-19,AU,126.43,total postings,Accounting
2021-08-20,AU,126.73,total postings,Accounting
2021-08-21,AU,126.86,total postings,Accounting
2021-08-22,AU,126.95,total postings,Accounting
2021-08-23,AU,126.99,total postings,Accounting
2021-08-24,AU,127.35,total postings,Accounting
2021-08-25,AU,127.53,total postings,Accounting
2021-08-26,AU,128.11,total postings,Accounting
2021-08-27,AU,128.63,total postings,Accounting
2021-08-28,AU,128.98,total postings,Accounting
2021-08-29,AU,129.46,total postings,Accounting
2021-08-30,AU,129.92,total postings,Accounting
2021-08-31,AU,129.83,total postings,Accounting
2021-09-01,AU,129.71,total postings,Accounting
2021-09-02,AU,129.41,total postings,Accounting
2021-09-03,AU,129.42,total postings,Accounting
2021-09-04,AU,129.11,total postings,Accounting
2021-09-05,AU,128.95,total postings,Accounting
2021-09-06,AU,128.87,total postings,Accounting
2021-09-07,AU,129.3,total postings,Accounting
2021-09-08,AU,130.1,total postings,Accounting
2021-09-09,AU,130.38,total postings,Accounting
2021-09-10,AU,130.5,total postings,Accounting
2021-09-11,AU,130.94,total postings,Accounting
2021-09-12,AU,131.28,total postings,Accounting
2021-09-13,AU,131.43,total postings,Accounting
2021-09-14,AU,131.4,total postings,Accounting
2021-09-15,AU,131.17,total postings,Accounting
2021-09-16,AU,131.21,total postings,Accounting
2021-09-17,AU,131.21,total postings,Accounting
2021-09-18,AU,131.09,total postings,Accounting
2021-09-19,AU,130.97,total postings,Accounting
2021-09-20,AU,130.68,total postings,Accounting
2021-09-21,AU,130.51,total postings,Accounting
2021-09-22,AU,130.25,total postings,Accounting
2021-09-23,AU,129.89,total postings,Accounting
2021-09-24,AU,129.65,total postings,Accounting
2021-09-25,AU,129.61,total postings,Accounting
