date,province,indeed_job_postings_index
2022-06-06,ab,187.79
2022-06-07,ab,187.81
2022-06-08,ab,187.62
2022-06-09,ab,187.32
2022-06-10,ab,187.05
2022-06-11,ab,186.59
2022-06-12,ab,186.31
2022-06-13,ab,185.99
2022-06-14,ab,185.38
2022-06-15,ab,185.18
2022-06-16,ab,184.98
2022-06-17,ab,184.94
2022-06-18,ab,184.94
2022-06-19,ab,184.87
2022-06-20,ab,184.81
2022-06-21,ab,184.72
2022-06-22,ab,184.3
2022-06-23,ab,183.97
2022-06-24,ab,183.4
2022-06-25,ab,183.02
2022-06-26,ab,182.69
2022-06-27,ab,182.45
2022-06-28,ab,182.36
2022-06-29,ab,182.2
2022-06-30,ab,182.13
2022-07-01,ab,182.02
2022-07-02,ab,181.74
2022-07-03,ab,181.39
2022-07-04,ab,181.11
2022-07-05,ab,180.71
2022-07-06,ab,180.33
2022-07-07,ab,180.01
2022-07-08,ab,179.78
2022-07-09,ab,179.42
2022-07-10,ab,179.31
2022-07-11,ab,179.11
2022-07-12,ab,179.01
2022-07-13,ab,178.99
2022-07-14,ab,178.89
2022-07-15,ab,178.81
2022-07-16,ab,179
2022-07-17,ab,179.02
2022-07-18,ab,179.04
2022-07-19,ab,179.19
2022-07-20,ab,179.1
2022-07-21,ab,179.1
2022-07-22,ab,179.26
2022-07-23,ab,179.04
2022-07-24,ab,179.17
2022-07-25,ab,179.15
2022-07-26,ab,179.26
2022-07-27,ab,179.55
2022-07-28,ab,179.87
2022-07-29,ab,179.97
2022-07-30,ab,180.19
2022-07-31,ab,180.25
2022-08-01,ab,180.43
2022-08-02,ab,180.26
2022-08-03,ab,179.75
2022-08-04,ab,179.15
2022-08-05,ab,178.85
2022-08-06,ab,178.87
2022-08-07,ab,178.63
2022-08-08,ab,178.51
2022-08-09,ab,178.41
2022-08-10,ab,178.67
2022-08-11,ab,179.17
2022-08-12,ab,179.59
2022-08-13,ab,179.76
2022-08-14,ab,180.08
2022-08-15,ab,180.25
2022-08-16,ab,180.47
2022-08-17,ab,180.65
2022-08-18,ab,180.76
2022-08-19,ab,180.82
2022-08-20,ab,180.97
2022-08-21,ab,181.07
2022-08-22,ab,181.16
2022-08-23,ab,181.2
2022-08-24,ab,181.39
2022-08-25,ab,181.26
2022-08-26,ab,181.07
2022-08-27,ab,180.94
2022-08-28,ab,180.75
2022-08-29,ab,180.54
2022-08-30,ab,180.41
2022-08-31,ab,180.36
2022-09-01,ab,180.61
2022-09-02,ab,180.78
2022-09-03,ab,181.09
2022-09-04,ab,181.36
2022-09-05,ab,181.75
2022-09-06,ab,181.97
2022-09-07,ab,181.86
2022-09-08,ab,181.38
2022-09-09,ab,181.06
2022-09-10,ab,180.82
2022-09-11,ab,180.45
2022-09-12,ab,180.17
2022-09-13,ab,179.88
2022-09-14,ab,179.76
2022-09-15,ab,179.94
2022-09-16,ab,180.13
2022-09-17,ab,179.9
2022-09-18,ab,179.97
2022-09-19,ab,179.84
2022-09-20,ab,179.74
2022-09-21,ab,179.73
2022-09-22,ab,179.73
2022-09-23,ab,179.67
2022-09-24,ab,179.86
2022-09-25,ab,179.94
2022-09-26,ab,180.25
2022-09-27,ab,180.89
2022-09-28,ab,181.32
2022-09-29,ab,181.62
2022-09-30,ab,181.57
2022-10-01,ab,181.44
2022-10-02,ab,181.41
2022-10-03,ab,181.31
2022-10-04,ab,180.97
2022-10-05,ab,180.92
2022-10-06,ab,180.81
2022-10-07,ab,181.03
2022-10-08,ab,181.34
2022-10-09,ab,181.61
2022-10-10,ab,181.88
2022-10-11,ab,182.1
2022-10-12,ab,182.4
2022-10-13,ab,182.61
2022-10-14,ab,183.03
2022-10-15,ab,183.59
2022-10-16,ab,184.36
2022-10-17,ab,184.9
2022-10-18,ab,185.42
2022-10-19,ab,185.9
2022-10-20,ab,186.63
2022-10-21,ab,187.31
2022-10-22,ab,187.13
2022-10-23,ab,187.08
